"No.|Date|Genre|Bibl|ContextBefore|Hit|ContextAfter"
"1|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Der Politik bisweilen den Ernst und die Verbissenheit zu nehmen, macht Sinn und hat Tradition.|Immer schon war es Anliegen mal humoristisch leichtfüßiger mal beißend polemischer Polit-Satire, aus Staatenlenkern Menschen mit Fehlern und Schwächen zu machen."
"2|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Doch die Zeiten sind schwierig, die Polit-Satire kränkelt und schwächelt selbst.|Die Politik selbst ist zum Witz mutiert und die Politiker sind zu Moderatoren ihrer eigenen Unfähigkeit und Unverfrorenheit geworden.|Was macht Satire, wenn ihr Gegenstand sich selbst ad absurdum führt?"
"3|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|In einer Serie gibt die Berliner Zeitung einen politischen Ausblick aufs neue Jahr.|Politik Seite 8|"
"4|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Die Galerie Brusberg, seit 20 Jahren in Berlin ansässig, hat für ihre Winterausstellung einen ziemlich provokanten Titel gewählt: ""Liebe zur Kunst in Zeiten der Cholera"".|Das ist ein sarkastischer Seitenhieb auf die landesweit an Kunst und Kultur sparende Politik.|Mit trotziger Sinnlichkeit stehen die Bilder und Skulpturen eines der wichtigsten Künstler der Galerie - Fernando Botero aus Kolumbien (Abb. ""Tänzer"", 1993) - gegen die Situation."
"5|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Der Sozialist und frühere Gewerkschaftsführer legte vor dem Kongress in Brasilia den Eid ab.|Als wichtigstes Ziel seiner Politik nannte Lula da Silva den Kampf gegen Hunger und Armut.|Zehntausende Menschen feierten den neuen Präsidenten."
"6|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Vor vier Jahren verlor der Wirt des Rainbow Rooms die Lizenz - und DeGroff seinen Job.|""Politik"", sagt er dazu nur.|Er wechselte als Berater ins ""Windows on the World"", der Bar im 107. Stock des World Trade Centers."
"7|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Eine Stimme für einen Krieg gegen den Irak (im UN-Sicherheitsrat) würde von den Wählern. als jüngster Fall zynischen Verrats ausgelegt.|Den Einfluss der Europäer auf die amerikanische Politik untersucht der italienische|Corriere della Sera"
"8|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Corriere della Sera|Kein EU-Land hat es geschafft, Einfluss auf die amerikanische Politik gegenüber dem Irak zu nehmen, das Schicksal Afghanistans zu beeinflussen, das palästinensische Drama dem Ende näher zu bringen oder die eigenen Botschaften in Pjöngjang einzusetzen, um den Ausbruch einer neuen Krise zu verhindern.|Das ist die wichtigste Lektion für Europa aus dem Jahr 2002."
"9|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Das ist die wichtigste Lektion für Europa aus dem Jahr 2002.|Es gibt einen leeren Raum in der internationalen Politik, den die Union nicht füllen kann oder will.|Mit der weltpolitischen Rolle Deutschlands beschäftigt sich die"
"10|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Mit der Mitgliedschaft im UN-Sicherheitsrat kommt Verantwortung, und sie verlangt Ernsthaftigkeit, weil Entscheidungen von großer Tragweite anstehen könnten.|Von nun an reicht es eben nicht mehr, eine den Irak betreffende Friedenssehnsucht mit einer Politik des Ressentiments so zu vermischen, dass daraus maximaler Stimmungs- und Stimmenertrag nach innen erwächst.|Jetzt hat sich die Bundesregierung vor einem anderen, in Machtpolitik geübten Publikum zu bewähren und zu behaupten."
"11|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|""Ich gehöre nicht zu denen, die jetzt die Arme ausbreiten und sagen: Ihr seid alle herzlich willkommen, tretet bei uns ein.""|Manche Sozialdemokraten betrieben eine solche Politik.|Er halte das aber für viel zu simpel."
"12|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Eine Niederlage am 2. Februar dürfte ihn auf längere Sicht von den Führungsrängen der SPD fern halten.|Roland Koch - seines Sieges offensichtlich ganz gewiss - hat öffentlich erklärt, dass er bei einer Niederlage am 2. Februar die Politik aufgeben und als Rechtsanwalt privatisieren wolle.|Von Sigmar Gabriel sind solche Ankündigungen bisher nicht zu hören."
"13|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Noch vor drei, vier Monaten stand die Unternehmerschaft in Brasilien weitgehend geschlossen hinter dem konservativen Präsidentschaftskandidaten José Serra.|Der frühere Streikführer Lula war längst zu einem höchst moderaten Sozialdemokraten mutiert, da zeigte ihm die Mehrheit der Wirtschaftsführer immer noch die kalte Schulter - und das, obwohl Lula damals genau die Politik versprach, die er jetzt umzusetzen beginnt.|""Es ist eben ein Unterschied zwischen dem, was man hört, und dem, was man sieht"", rechtfertigt Plöger den früheren Widerstand gegen den Kandidaten, der heute mit Lobeshymnen bedacht wird."
"14|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|So rechnet er mit einer weiteren Erhöhung des Exportüberschusses von derzeit zwölf Milliarden Dollar.|Die soziale Komponente der künftigen Regierung - zum Hauptziel seiner Politik erklärte Lula die Eliminierung des Hungers in Brasilien - findet ebenfalls seinen Beifall: ""So eine Diskussion ist wichtig in Brasilien"", sagt er.|"
"15|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Entgegen den Behauptungen aus der Berliner Politik machte die Deutsche Oper am Ende des Jahres 2002 einen besseren Eindruck als an dessen Anfang, die Renovierung der Innenräume hat dem Haus gut getan.|Am Silvesterabend schonte die Deutsche Oper ihren Teppichboden und verzichtete auf eine Neuauflage der Party-Orgie vom Vorjahr; es gab Ballett."
"16|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Eine weitere Strecke ist in Bayern geplant.|Kommentar Seite 4, Politik Seite 5|"
"17|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Nachholbedarf in Innenpolitik|Im Reigen der ARD-Korrespondenten haftete Kleber eher der Ruf eines Konservativen an, was wohl daran liegt, dass er die Politik der USA oft freundlicher als Kollegen beurteilte.|Kleber hat als erster ausländischer Korrespondent ein Interview mit Georg W. Bush geführt, das das Weiße Haus auf seine Website gestellt hat."
"18|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Die Berliner Universitäten gehören nach ihren Forschungsleistungen zur Spitzengruppe in Deutschland.|Dennoch werden sie von Seiten der Politik vorwiegend als lästige Kostgänger betrachtet - ganz im Gegensatz zu der Wahrnehmung von außen.|Berlin müsste eigentlich stolz sein auf die hohe Qualität seiner Wissenschaftseinrichtungen und sie als zentrale Faktoren der Entwicklung der Stadt begreifen."
"19|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Im April 2002 erst erhielt Berlin von der Europäischen Union für die Gründung innovativer Unternehmen die Auszeichnung ""Region of Excellence"".|Aus all diesen Gründen müsste auch die Berliner Politik die Entwicklung der Wissenschaft mit selbstbewusster Aufmerksamkeit wahrnehmen, statt sie schlecht zu reden.|Der Finanzsenator (""lieber eine gute als drei mittelmäßige Universitäten"") sollte wissen, dass er drei sehr gute hat, auf deren Potenzial die Stadt nicht verzichten kann."
"20|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Nach neuesten Berichten aber sinkt die Gründermentalität in den Hochschulen, und Neuberufene stellen Fragen nach der Verlässlichkeit der Entwicklung - das muss aufhören.|Die Politik muss mittel- bis langfristige Planungssicherheit gewährleisten, damit auch bei schmerzhaften Einsparungen die Konzentration auf vorhandene Leistungsstärken möglich wird.|Wir können uns Ziellosigkeit nicht leisten."
"21|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|""Frau Wanjura und Herr Momper haben uns Rückendeckung gegeben.|Damit gaben sie ein schönes Beispiel dafür, wie die Politik Berliner Unternehmen helfen kann.""|Schon 1986 hatte der Aufzug- und Fahrtreppenhersteller vorgeschlagen, den U-Bahnhof umzubenennen."
"22|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Nö. Uns ist allen klar, dass es wegen der Finanz-Misere ein hartes Jahr wird.|Weil ich der Überzeugung bin, dass Politik gerade in schwierigen Zeiten erforderlich ist und ich nach wie vor gerne Politik mache, gibt es keinen Grund zum Gruseln.|Ihr Vorgänger Manfred Stolpe hat wie kaum ein anderer die Rolle des Landesvaters verkörpert."
"23|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Nö. Uns ist allen klar, dass es wegen der Finanz-Misere ein hartes Jahr wird.|Weil ich der Überzeugung bin, dass Politik gerade in schwierigen Zeiten erforderlich ist und ich nach wie vor gerne Politik mache, gibt es keinen Grund zum Gruseln.|Ihr Vorgänger Manfred Stolpe hat wie kaum ein anderer die Rolle des Landesvaters verkörpert."
"24|2003-01-02|Zeitung|Berliner Zeitung, 02.01.2003|Sonst muss man sich einen anderen Lebensweg suchen.|In der Politik kann man nicht reich, bestenfalls bedeutend werden.|In der eigenen Partei, auch beim Koalitionspartner CDU, wird bereits häufiger die Frage gestellt:"
"25|2003-01-03|Zeitung|Berliner Zeitung, 03.01.2003|Möglicherweise wird das Bundesverfassungsgericht bis Anfang Februar schon entscheiden, ob das Verfahren über ein Verbot der NPD fortgesetzt oder beendet wird.|Ganz unabhängig von den Aktivitäten der NPD ist die Sachlage dadurch kompliziert, dass V-Leute des Verfassungsschutzes in so wichtigen Positionen der Partei saßen, dass nicht mehr festzustellen ist, ob die NPD ohne die nicht eine andere Politik betrieben hätte.|Es ist also nicht auszuschließen, dass die Staatsorgane die Partei in jene Richtung geführt hätten, um sie verbieten zu können."
"26|2003-01-03|Zeitung|Berliner Zeitung, 03.01.2003|Offenbar nicht.|Möllemann hat für diesen Monat seine Rückkehr in die Politik angekündigt.|Ein paar spektakuläre Auftritte sind noch kein politisches Comeback."
"27|2003-01-03|Zeitung|Berliner Zeitung, 03.01.2003|""Wenn der Yen fällt, sinkt auch der Wert von Anlagen ausländischer Investoren.|Damit verliert die Volkswirtschaft, Ihre Politik und die ganze Nation an Stolz und Glaubwürdigkeit"", warnte er die Regierung bei einer Parlamentsanhörung.|Aber Hayami geht Ende März in Pension."
"28|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|(BLZ)|Politik Seite 6|"
"29|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Offenbar ohne großen Erfolg.|Leitartikel S. 4, Politik S. 5|"
"30|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Jedenfalls spricht keiner darüber.|Wir reden eher über Politik.|Da gibt es verschiedene Meinungen, aber die Diskussionen laufen sehr fair, das ist schön."
"31|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|""Frankfurter Rundschau""|Den Großteil des Ärgers, der auf Einwegliebhaber in den nächsten Monaten zukommt, sollten die bei Handel und Industrie abladen, nicht bei der Politik.|Wenn Supermarktketten und Getränkeproduzenten über den Rückfall in die Zeit mit Pfandmarken stöhnen, wenn sie die lästige und zeitaufwändige Rücknahme von Kassenbons oder die Last für ihre Kunden anprangern, dann klagen sie sich selbst an."
"32|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Was kritisiert gehört, ist hingegen die politische Form, ist die staatliche Intervention in das zivile Gefüge.|Die Frage ist zu klären, wie die Politik dahinkommen kann, angemessener mit derartigen sozialen Herausforderungen umzugehen.|Ob Bündnis oder Aktionsprogramm - beide Initiativen des Bundes reagieren auf die Rituale unserer Informationsgesellschaft."
"33|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Vielleicht ist es darüber hinaus aber noch viel wichtiger, zuweilen ganz offen mit der Wahrheit herauszurücken:|Dass man in der Politik ratlos ist, wie an dieser Stelle oder in jenem Ort dem Zusammenbruch zivilen Verhaltens - der ja im Verhalten rechtsradikaler Skins oft nur besonders deutlich wird - begegnet werden kann.|Dass der Staat nicht der richtige ist, es zu richten, weil staatliche Zuweisungsformen und -regeln ein Miteinander vor Ort nicht ersetzen können."
"34|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Die Bürgergesellschaft ist ein anhaltendes Projekt.|Man kann ihre Entwicklung nicht der Politik überlassen, sondern muss mitarbeiten - und geduldig sein.|"
"35|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|BERLIN, 3. Januar.|Jürgen W. Möllemann tastet sich nach seiner Genesungspause wieder vorsichtig an die Politik heran.|Am Donnerstag bezog der frühere Landes- und Fraktionschef der nordrhein-westfälischen FDP im Düsseldorfer Landtag sein neues Abgeordneten-Büro."
"36|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Eine unschlagbare Verkaufsshow in jeder Hinsicht. ""|Der deutschen Politik wirft Möllemann vor, dass sie ""mit feigen Halbherzigkeiten"" in Deckung bleibe, Bush-Parolen nachplappere und sich ums Image sorge.|"
"37|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Politik: ""Henning Mankell warnt vor Bushs Irak-Politik"", epd (24./25./26. Dezember):|Schade, dass man in Schweden wohnen muss, um in Deutschland einmal so die Sache auf den Punkt zu bringen."
"38|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Endlich spricht und schreibt mal jemand Klartext, was dieses Land braucht und nicht nur einige Vertreter von Partikularinteressen im Lande.|Bleibt zu wünschen, dass Professor Lauterbach für seine im Aufsatz enthaltenen Ideen bei der Ministerin für Gesundheit und Soziales ein offenes Ohr findet und die Politik nicht ein weiteres Mal einknickt, wenn Lobbyisten aufheulen.|Als Einstieg in den Umstieg könnte das französische Modell dienen."
"39|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Politik: ""Schmidt will Bonusmodelle erlauben"", dpa (30. Dezember):|Wir wissen alle, dass Appelle allein nicht zu vernünftigem Handeln erziehen - es ist leichter, die Menschen mit Geld zu strafen oder zu belohnen."
"40|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Ihrer Überzeugung, das Unbehagliche in der Kunst sei ""eigentlich das Signum der Qualität"", verlieh Carla Henius schließlich auch als Lehrerin, Autorin und Herausgeberin Ausdruck.|Immer wieder wandte sie sich gegen die Fremdbestimmung der Theater-Arbeit durch Verwaltung und Politik.|Carla Henius schrieb über die Funktion der Musik in Thomas Manns ""Doktor Faustus"", ihr bekanntestes Werk ist ""Das undankbare Geschäft mit Neuer Musik""."
